iter	RMSE
208	4.759675941
209	4.757272172
210	4.755070929
211	4.752909353
212	4.749555131
213	4.742782649
214	4.740680777
215	4.736566426
216	4.731116391
217	4.729531992
218	4.724154264
219	4.719046413
220	4.714621092
221	4.709735759
222	4.707264106
223	4.705439249
224	4.702633327
225	4.698265985
226	4.69271038
227	4.689725496
228	4.689437627
229	4.685226246
230	4.679530493
231	4.677825502
232	4.676420407
233	4.672919095
234	4.66790714
235	4.666461684
236	4.663678429
237	4.659197833
238	4.654106848
239	4.650146507
240	4.646669791
241	4.644159708
242	4.642659096
243	4.64007704
244	4.636396366
245	4.632189661
246	4.631048629
247	4.626357969
248	4.62506581
249	4.619235831
250	4.614460957
251	4.609967701
252	4.608594619
253	4.603378587
254	4.600343234
255	4.596773293
256	4.593740757
257	4.588976853
258	4.585212055
259	4.580797504
260	4.578340453
261	4.575126931
262	4.571492407
263	4.568827422
264	4.566074746
265	4.56056571
266	4.553111653
267	4.550652796
268	4.54814943
269	4.54262793
270	4.53926548
271	4.536915821
272	4.53170398
273	4.529035484
274	4.526714912
275	4.523889578
276	4.521572765
277	4.518656199
278	4.517006965
279	4.514662668
280	4.510918635
281	4.508243895
282	4.504332189
283	4.501368333
284	4.496595694
285	4.491684506
286	4.486987419
287	4.481930402
288	4.479872937
289	4.477150209
290	4.472722389
291	4.468359328
292	4.46449347
293	4.462607097
294	4.459614968
295	4.457992924
296	4.454391337
297	4.45309203
298	4.447197133
299	4.443669487
300	4.441259822
301	4.437502093
302	4.43097669
303	4.426229022
304	4.423902404
305	4.420264029
306	4.418291407
307	4.416758571
308	4.413489638
309	4.411595739
310	4.408094189
311	4.404440759
312	4.402617373
313	4.398256054
314	4.396065503
315	4.391489372
316	4.389941114
317	4.38353257
318	4.379719688
319	4.3791668
320	4.375235366
321	4.36830124
322	4.363798353
323	4.361896721
324	4.358585724
325	4.3520128
326	4.34941524
327	4.346150701
328	4.342893629
329	4.338649572
330	4.333635637
331	4.331902758
332	4.329247643
333	4.325202512
334	4.320889875
335	4.316524517
336	4.312126959
337	4.310453996
338	4.30916316
339	4.305398725
340	4.301752065
341	4.298744628
342	4.297097415
343	4.295305796
344	4.289665624
345	4.285659117
346	4.28145837
347	4.277314341
348	4.274009614
349	4.27173602
350	4.268013134
351	4.264002488
352	4.258889932
353	4.254456916
354	4.251077298
355	4.248649174
356	4.245226461
357	4.240386259
358	4.236349239
359	4.235696953
360	4.234335082
361	4.232516463
362	4.229897168
363	4.22881171
364	4.224718693
365	4.222702021
366	4.220772532
367	4.219871871
368	4.215799936
369	4.212521335
370	4.209903515
371	4.207843255
372	4.207375306
373	4.205218806
374	4.200889277
375	4.196179738
376	4.192629285
377	4.190795011
378	4.187657748
379	4.187095725
380	4.183492679
381	4.182556655
382	4.179011446
383	4.17513623
384	4.172823375
385	4.16998884
386	4.167100766
387	4.163957772
388	4.15991666
389	4.155441718
390	4.151729185
391	4.149579863
392	4.149046777
393	4.144643573
394	4.140383331
395	4.138992503
396	4.134997443
397	4.128714013
398	4.126969768
399	4.122694399
400	4.119632591
401	4.116371546
402	4.111635003
403	4.108648777
404	4.106793414
405	4.103505275
406	4.09968995
407	4.09762616
408	4.097157165
409	4.092590983
410	4.092056713
411	4.087720986
412	4.083004245
413	4.080768285
414	4.079091891
415	4.078561674
416	4.07636416
417	4.075104061
418	4.072332217
419	4.07129309
420	4.06873896
421	4.066174005
422	4.061710237
423	4.058421304
424	4.054590389
425	4.053374432
426	4.049906379
427	4.04838328
428	4.044586888
429	4.040352468
430	4.035067076
431	4.031909079
432	4.027925245
433	4.025635204
434	4.021506297
435	4.017730877
436	4.013237021
437	4.011086429
438	4.010503279
439	4.007478139
440	4.004708864
441	4.000565149
442	3.998625094
443	3.996301803
444	3.995785329
445	3.993272001
446	3.990631102
447	3.988081567
448	3.984813857
449	3.983805056
450	3.97749725
451	3.977247735
452	3.973470849
453	3.970494071
454	3.968595091
455	3.965913349
456	3.965152589
457	3.96348592
458	3.96044604
459	3.958742854
460	3.957242578
461	3.953264466
462	3.951025897
463	3.949479815
464	3.949138158
465	3.946285507
466	3.945203904
467	3.943292769
468	3.937981209
469	3.937050542
470	3.936339322
471	3.932198561
472	3.927914375
473	3.923908582
474	3.920250882
475	3.918393248
476	3.914875408
477	3.914256408
478	3.910747942
479	3.907494466
480	3.903847899
481	3.902143804
482	3.900424348
483	3.897236505
484	3.893403831
485	3.892927149
486	3.889816719
487	3.885914297
488	3.882829077
489	3.880183283
490	3.876927451
491	3.876538682
492	3.875236798
493	3.87033633
494	3.8690066
495	3.865993385
496	3.864274144
497	3.861313563
498	3.86007516
499	3.85968024
500	3.856376525
501	3.855971038
502	3.8530524
503	3.852804986
504	3.849578112
505	3.848094202
506	3.844877932
507	3.841698272
508	3.838517684
509	3.83798052
510	3.835529165
511	3.831496252
512	3.82979876
513	3.826137004
514	3.82020342
515	3.819481483
516	3.819115885
517	3.816326138
518	3.815663937
519	3.812257313
520	3.809396193
521	3.808991633
522	3.805592049
523	3.804743506
524	3.804377155
525	3.803584367
526	3.800237584
527	3.79641701
528	3.792961282
529	3.791930274
530	3.790513925
531	3.790317456
532	3.786547722
533	3.784946754
534	3.781691083
535	3.778811494
536	3.776402843
537	3.774209048
538	3.771113554
539	3.767626557
540	3.765706983
541	3.76292312
542	3.760785154
543	3.757031417
544	3.754340909
545	3.750086267
546	3.747492349
547	3.746157935
548	3.745789034
549	3.744907659
550	3.74404415
551	3.74081033
552	3.738086483
553	3.734847348
554	3.734610878
555	3.734245019
556	3.73241278
557	3.729342229
558	3.7273054
559	3.723384298
560	3.720167282
561	3.716065534
562	3.714616534
563	3.710614034
564	3.707084878
565	3.705723145
566	3.703583954
567	3.70238589
568	3.699095067
569	3.698347166
570	3.69506755
571	3.693072649
572	3.689439944
573	3.686457911
574	3.685241853
575	3.683993961
576	3.680985473
577	3.680629356
578	3.677748553
579	3.675432155
580	3.675127094
581	3.674454792
582	3.673990274
583	3.671738876
584	3.670724215
585	3.669413415
586	3.667118582
587	3.663913524
588	3.662049622
589	3.660863971
590	3.659154661
591	3.658532987
592	3.657763357
593	3.656905041
594	3.655031934
595	3.652378222
596	3.64784393
597	3.647580152
598	3.644441372
599	3.64180784
600	3.639748513
601	3.635864867
602	3.633564052
603	3.631209262
604	3.628992587
605	3.626340475
606	3.623275434
607	3.622922678
608	3.619791933
609	3.614120903
610	3.612294361
611	3.606916799
612	3.604417516
613	3.60090428
614	3.598448045
615	3.595277447
616	3.594537943
617	3.591975283
618	3.59163008
619	3.590923742
620	3.590328522
621	3.586836363
622	3.586283817
623	3.585961376
624	3.585380703
625	3.58472886
626	3.582933126
627	3.581187283
628	3.57955453
629	3.57843962
630	3.576680092
631	3.576314631
632	3.572963901
633	3.571696609
634	3.568490961
635	3.566492939
636	3.563404511
637	3.563189917
638	3.559547005
639	3.55713656
640	3.554417937
641	3.552523053
642	3.550049239
643	3.54683149
644	3.54543052
645	3.544252692
646	3.541795375
647	3.539588374
648	3.538950936
649	3.535774348
650	3.534970909
651	3.531628647
652	3.530555008
653	3.530231759
654	3.525052398
655	3.523126959
656	3.519598736
657	3.518381886
658	3.516854383
659	3.513656772
660	3.512977089
661	3.512659356
662	3.509580904
663	3.507180099
664	3.505705537
665	3.504453368
666	3.503704005
667	3.500701359
668	3.499186863
669	3.497641325
670	3.494807505
671	3.490775697
672	3.489003637
673	3.487096404
674	3.485859538
675	3.481846273
676	3.478945816
677	3.477490868
678	3.475587952
679	3.475315089
680	3.472346245
681	3.470621623
682	3.468329888
683	3.466286521
684	3.464808618
685	3.463965089
686	3.46244409
687	3.461859798
688	3.460800268
689	3.460546198
690	3.459939588
691	3.459560834
692	3.457159614
693	3.454835414
694	3.454264849
695	3.453647722
696	3.451867221
697	3.449199149
698	3.448246942
699	3.445203055
700	3.444097801
701	3.443555115
702	3.443343871
703	3.441816575
704	3.439374803
705	3.4364259
706	3.433904932
707	3.432923555
708	3.429675352
709	3.429524332
710	3.42721441
711	3.425994496
712	3.425721167
713	3.423268537
714	3.420305549
715	3.419405603
716	3.418212104
717	3.416529968
718	3.414064859
719	3.41172845
720	3.409727539
721	3.407117728
722	3.406503745
723	3.405574046
724	3.405177839
725	3.401545574
726	3.401327564
727	3.39914932
728	3.398898636
729	3.398513525
730	3.397343712
731	3.396243185
732	3.395235442
733	3.393894478
734	3.388931853
735	3.386702954
736	3.385901151
737	3.381441631
738	3.380635364
739	3.378047694
740	3.375692294
741	3.372030446
742	3.368360321
743	3.363212426
744	3.36281499
745	3.361065658
746	3.360154787
747	3.357758533
748	3.356228641
749	3.35545464
750	3.354246686
751	3.352003762
752	3.349294581
753	3.348591217
754	3.348060428
755	3.347395907
756	3.347155426
757	3.345781127
758	3.343456164
759	3.340745294
760	3.338871158
761	3.336704415
762	3.333368282
763	3.331471973
764	3.327610689
765	3.327023098
766	3.324768604
767	3.320540665
768	3.31979661
769	3.315484869
770	3.310929165
771	3.310618369
772	3.309165115
773	3.308275618
774	3.305414877
775	3.303195195
776	3.303096509
777	3.299801197
778	3.29854775
779	3.296671022
780	3.295685894
781	3.292414962
782	3.290626125
783	3.289012577
784	3.287340159
785	3.286152422
786	3.285630051
787	3.284006083
788	3.283127192
789	3.281334981
790	3.280793747
791	3.278745821
792	3.27786279
793	3.27691777
794	3.27533067
795	3.27262592
796	3.26907344
797	3.268315369
798	3.268164801
799	3.266507216
800	3.266366485
801	3.265419935
802	3.262713854
803	3.261884854
804	3.260649354
805	3.257666627
806	3.255834786
807	3.254068703
808	3.252268579
809	3.251307796
810	3.250398384
811	3.249407884
812	3.246438148
813	3.244338592
814	3.244081832
815	3.243449498
816	3.24324487
817	3.241712245
818	3.240608548
819	3.235729027
820	3.23501896
821	3.230762641
822	3.22747809
823	3.224749993
824	3.22295606
825	3.221095437
826	3.21952775
827	3.217489157
828	3.215607101
829	3.21371942
830	3.211432097
831	3.209256264
832	3.208936059
833	3.20830618
834	3.206026648
835	3.204153817
836	3.201294596
837	3.199747142
838	3.199286475
839	3.198575553
840	3.197583618
841	3.196850106
842	3.193898583
843	3.191328586
844	3.190928661
845	3.190595431
846	3.189845278
847	3.186993234
848	3.183864076
849	3.182410755
850	3.180621935
851	3.178961334
852	3.177499908
853	3.17698032
854	3.175954561
855	3.175742952
856	3.175442639
857	3.174305943
858	3.172009926
859	3.171463265
860	3.170395969
861	3.170067061
862	3.169900808
863	3.168559381
864	3.168240122
865	3.165145847
866	3.163939345
867	3.163144965
868	3.161340007
869	3.158780479
870	3.157105682
871	3.15409299
872	3.153950484
873	3.147704808
874	3.147649415
875	3.144884982
876	3.143479144
877	3.142535808
878	3.140076028
879	3.137934785
880	3.136205677
881	3.134107186
882	3.13272541
883	3.130403165
884	3.130066862
885	3.129618454
886	3.12637028
887	3.125918262
888	3.125533051
889	3.125456378
890	3.124923131
891	3.123701367
892	3.123124305
893	3.121128435
894	3.118573101
895	3.117023752
896	3.115541789
897	3.114567827
898	3.113006383
899	3.112887567
900	3.112460339
901	3.111667428
902	3.109064271
903	3.107196816
904	3.106828417
905	3.103564974
906	3.102517124
907	3.101239186
908	3.10094495
909	3.099718038
910	3.099631339
911	3.097019237
912	3.092896394
913	3.091518874
914	3.089997464
915	3.088915009
916	3.088213604
917	3.087690777
918	3.087014286
919	3.085411723
920	3.08482087
921	3.084324477
922	3.082145044
923	3.080118095
924	3.079247079
925	3.078928017
926	3.078407795
927	3.077791279
928	3.07552915
929	3.07167684
930	3.07121715
931	3.070547276
932	3.068170845
933	3.065838069
934	3.064964372
935	3.064093024
936	3.061856366
937	3.060944293
938	3.060618397
939	3.059798741
940	3.05961049
941	3.05560792
942	3.054273459
943	3.053148206
944	3.052994011
945	3.049459845
946	3.047387223
947	3.045959022
948	3.042810122
949	3.042099683
950	3.041842323
951	3.040750363
952	3.03994629
953	3.037440518
954	3.035791708
955	3.034421847
956	3.031437093
957	3.030851591
958	3.029950679
959	3.027537533
960	3.024931351
961	3.023446431
962	3.021519002
963	3.020628308
964	3.019231361
965	3.018733806
966	3.018358393
967	3.016477339
968	3.013652975
969	3.012431005
970	3.010295331
971	3.009323415
972	3.007109896
973	3.00682162
974	3.00351351
975	3.003298081
976	3.002931865
977	3.002474051
978	3.000596495
979	2.999965121
980	2.998780082
981	2.998373355
982	2.996848136
983	2.995347108
984	2.994850093
985	2.992059541
986	2.989405936
987	2.986819088
988	2.98321711
989	2.981360163
990	2.979938611
991	2.979829256
992	2.978810902
993	2.97822557
994	2.97732248
995	2.975676044
996	2.973900094
997	2.973506389
998	2.972286382
999	2.971820161
